subject,content
Tv,What are the details on the tv? How old? Problems? Condition? etc. Daren
Good news for you,Grab me when you get a minute. I have your bonus and merit info. You're going to like it. D
PanEnergy Swap,The PanEnergy spreadsheet is attached. D
Tenaska,I have adjusted the pricing for the Apache and Williams deals for September forward as we disucussed in the meeting today. D
Re: Deal Numbers,"Buy Apache #384247 Buy Williams 384237 Sale Tenaska 384258 Trans Capacity Lone Star 452491&452475 Spot sales will be on various tickets throughout each month. Deals are under the Cleburne Intramamonth Position in Sitara. D"
New book,Please create the following books to be used in Sitara and TAGG. Let me know if I forgot any information. Dave
Re: table and buffet,These have been sold.
On Call Notes for Weekend Dated ; August 12th thru 13th,Attached are the notes from this weekend.
Re: Playoffs,Is this single or double elimination?
re:table and buffet,Is it very dark in color? And how big around is it?
Enron,??? KEEP UP THE GOOD WORK. ? WE AT HOME LOVE IT AT $80+++ ? KEN
Name Change/Merger Listing for 7/00,This is the preliminary spreadsheet for July. There will definitely be another listing distributed no later than this Friday. For some reason there has been an unusual number of notices issued and we are working diligently to get the documents lined up. Updates to records in GCP for counterparty name changes: The legal name field will be updated Monday afternoon (7/17). The ERMS Shortnames will be changed on Tuesday afternoon (7/18).
Methanol Plant Status,It now appears the Methanol Plant will be up making product about July 28.
HR Generalist for your group,Norma Villarreal is the HR Generalist for all of Brent Price's group and Hector McLoughlin is the HR Generalist for all the other groups/departments under Sally Beck. Toni Graham is the Recruiter for all of Sally Beck's group. Yvonne Laing is the Compensation Specialist for all of Sally Beck's group. Janet De La Paz is the Admin. Support Person for the HR group. I hope this helps you directs your questions or needs for services in the future.
Oasis Contract Imbalance Update,....This just in.... Here are our updated imbalances per contract & total: Historical Current Mth Cumul. 201K: (12.807) (8.181) (20.988) 202K: (13.951) 7.879 (6.072) 203K: (6.152) (267) (6.419) 204K: 27.392 (6.306) 21.088 Total: (5.516) (6.875) (12.391) Due Oasis
Unfinaled Sales Invoices,Here are the spreadsheets for the unfinaled invoices prior to May 2000. Please notify me of any discrepancies. We will send out unfinaled purchases next week. Thanks.
On Call Notes,Please see attached. Mary
TUFCO - Prebid,HPLR Est. 65000 WB Est. 40000
SAP - TimeKeeping,You should have received your Logon ID and password for SAP this morning. We will hold a learning lunch early next week walking you through the new HR Online system and Timekeeping system. You will not know how to key your time until then. I will keep you posted on the details of the learning lunch. Y
Re: HL&P,This deal relates to Geens Bayou only. D
Re: RESUME - Robert Goerner,Not interested.
Re: RESUME - Liz Bellamy,I would be interested in talking to Liz. Please set up an interview for me one afternoon during the next couple of weeks. Thanks. D
Re: RESUME - Gloria Smith,No interest.
HPL Planning Meeting,Please mark your calendars. The Thursday HPL Planning Meeting scheduled for 3:00 PM has been moved to 1:00 PM on Thursday. Same location EB35c1. Thanks.
